row_index,reason,original_src,original_dst
30061,src_unresolved:NIQ|ID:nan,NIQ,UMD
30062,src_unresolved:NSQ|ID:nan,NSQ,JUV
30063,src_unresolved:NSQ|ID:nan;dst_unresolved:KHQ|ID:nan,NSQ,KHQ
30065,dst_unresolved:QOQ|ID:nan,QFG,QOQ
30066,src_unresolved:QFN|ID:nan,QFN,JNN
30067,src_unresolved:QJH|ID:nan,QJH,JJU
30068,src_unresolved:QOQ|ID:nan,QOQ,JJU
30069,src_unresolved:QUV|ID:nan;dst_unresolved:QFN|ID:nan,QUV,QFN
30070,src_unresolved:QUW|ID:nan,QUW,JJU
30071,src_unresolved:QUW|ID:nan,QUW,JNN
30072,src_unresolved:SAE|ID:nan;dst_unresolved:IKE|ID:nan,SAE,IKE
30073,src_unresolved:SAE|ID:nan,SAE,UMD
30080,dst_unresolved:KUS|ID:4248.0,SFJ,KUS
30082,src_unresolved:SGG|ID:nan,SGG,AGM
30083,src_unresolved:SRK|ID:nan,SRK,NAQ
30084,src_unresolved:SVR|ID:nan,SVR,THU
30086,dst_unresolved:SVR|ID:nan,THU,SVR
30087,src_unresolved:TQA|ID:nan;dst_unresolved:IUI|ID:nan,TQA,IUI
30088,src_unresolved:TQA|ID:nan,TQA,JUV
30089,src_unresolved:TQI|ID:nan,TQI,AGM
30095,dst_unresolved:IKE|ID:nan,UMD,IKE
30096,dst_unresolved:IOT|ID:nan,UMD,IOT
30098,dst_unresolved:JUK|ID:nan,UMD,JUK
30099,dst_unresolved:JUU|ID:nan,UMD,JUU
30100,dst_unresolved:NIQ|ID:nan,UMD,NIQ
30101,dst_unresolved:SAE|ID:nan,UMD,SAE
30102,src_unresolved:UPK|ID:nan,UPK,JUV
30103,src_unresolved:UPK|ID:nan;dst_unresolved:KGQ|ID:nan,UPK,KGQ
30104,src_unresolved:XEQ|ID:nan;dst_unresolved:QUV|ID:nan,XEQ,QUV
30521,dst_unresolved:KCG|ID:9745.0,AKN,KCG
30522,dst_unresolved:KLL|ID:7102.0,AKN,KLL
30540,src_unresolved:KCG|ID:9745.0;dst_unresolved:KCL|ID:7155.0,KCG,KCL
30541,src_unresolved:KCL|ID:7155.0;dst_unresolved:KCQ|ID:7153.0,KCL,KCQ
30542,src_unresolved:KCQ|ID:7153.0,KCQ,KPV
30544,src_unresolved:KLL|ID:7102.0,KLL,IGG
30549,dst_unresolved:UGB|ID:nan,PIP,UGB
30551,src_unresolved:UGB|ID:nan,UGB,PTH
30855,src_unresolved:BLD|ID:6449.0;dst_unresolved:GCW|ID:6448.0,BLD,GCW
30856,src_unresolved:GCW|ID:6448.0;dst_unresolved:BLD|ID:6449.0,GCW,BLD
31174,dst_unresolved:TVS|ID:8858.0,CAN,TVS
31572,src_unresolved:TVS|ID:8858.0,TVS,CAN
32130,src_unresolved:BVV|ID:7478.0,BVV,UUS
32139,src_unresolved:OHH|ID:7479.0,OHH,UUS
